楼盘名称,成交价,成交单价,成交周期,位置,房屋户型,所在楼层,建筑面积,房屋朝向,建成年代,装修情况,建筑结构,供暖方式,梯户比例,产权年限,配备电梯,链家编号
天山小区（宁国路）,175,25736,2成交周期（天）,天山银海二手房成交,2室1厅1厨1卫,高楼层(共6层),68㎡,南,1996,其他,砖混结构,集中供暖,一梯两户,70年,无,103106513612
大学路公寓,800,56530,339成交周期（天）,大学路二手房成交,3室2厅1厨2卫,中楼层(共8层),141.52㎡,南,2000,精装,混合结构,集中供暖,一梯两户,70年,无,103103356463
华润中心悦府,677,47496,317成交周期（天）,湛山二手房成交,3室2厅1厨2卫,低楼层(共30层),142.54㎡,南 北,2014,精装,钢混结构,集中供暖,两梯三户,70年,有,103103494849
闽江路11号,130,24739,88成交周期（天）,新贵都二手房成交,2室0厅1厨1卫,高楼层(共7层),52.55㎡,南 北,1984,简装,混合结构,集中供暖,一梯两户,70年,无,103105408584
东海一路,460,44223,25成交周期（天）,湛山二手房成交,3室2厅1厨2卫,低楼层(共6层),104.02㎡,南 北,1994,精装,砖混结构,集中供暖,一梯两户,70年,无,103106149567
浮东小区,278,25868,127成交周期（天）,闽江路二手房成交,3室1厅1厨1卫,高楼层(共6层),107.47㎡,南 北,1996,简装,砖混结构,集中供暖,一梯两户,70年,无,103104982875
镇江路91-103号,180,33995,10成交周期（天）,镇江路二手房成交,2室1厅1厨1卫,中楼层(共5层),52.95㎡,南,1999,精装,砖混结构,集中供暖,一梯四户,70年,无,103106391700
青岛华润中心·华润大厦,133,25095,143成交周期（天）,湛山二手房成交,1室1厅1厨1卫,中楼层(共35层),53㎡,北,2015,精装,钢混结构,集中供暖,一梯十四户,40年,暂无数据,103104816927
班芙春天二期,39,11108,6成交周期（天）,新贵都二手房成交,1室0厅1厨1卫,低楼层(共30层),35.11㎡,西南,2007,简装,框架结构,集中供暖,四梯十六户,40年,有,103106442096
云溪路,96,20739,75成交周期（天）,镇江路二手房成交,2室0厅1厨1卫,中楼层(共5层),46.05㎡,南,1981,精装,钢混结构,集中供暖,一梯四户,70年,无,103105535172
逍遥小区（大尧三路）,136,18628,68成交周期（天）,大尧二手房成交,2室1厅1厨1卫,高楼层(共7层),73.01㎡,南 北,1993,其他,混合结构,集中供暖,一梯两户,70年,无,103105621398
福林小区（大尧二路）,108,22123,213成交周期（天）,大尧二手房成交,1室1厅1厨1卫,高楼层(共6层),48.82㎡,南 北,1993,简装,砖混结构,集中供暖,一梯两户,70年,无,103104119742
金都花园(市南),208,15408,94成交周期（天）,五四广场二手房成交,3室1厅1厨2卫,低楼层(共33层),135㎡,南,1994,简装,钢混结构,集中供暖,四梯八户,70年,有,103105316709
依山雅居,258,28247,123成交周期（天）,福安二手房成交,2室2厅1厨1卫,高楼层(共20层),91.34㎡,南 北,2010,精装,钢混结构,集中供暖,一梯三户,70年,有,103104994844
沛县路,257,25113,76成交周期（天）,新贵都二手房成交,3室2厅1厨2卫,高楼层(共7层),102.14㎡,南 北,1993,简装,混合结构,集中供暖,一梯两户,50年,无,103105510678
新贵都D区,204,25892,66成交周期（天）,新贵都二手房成交,2室1厅1厨1卫,中楼层(共26层),78.79㎡,南 西,2003,简装,混合结构,集中供暖,两梯八户,70年,有,103105625772
